,intent_loss,intent_acc,set
0,0.9834034045262463,0.7480762580181929,train
1,0.5308709248584994,0.8662604237306263,valid
2,0.29489120215914477,0.9238933080334822,train
3,0.38217342488654077,0.9082745352641676,valid
4,0.17915792204343012,0.9533978904095485,train
5,0.34275124915484206,0.9223861452705819,valid
6,0.1293472522309592,0.964724191626978,train
7,0.3682995227149391,0.9271969211797365,valid
8,0.10166649391561278,0.9721813938227282,train
9,0.32919572258393226,0.9358563184585229,valid
10,0.0871207264675394,0.9760721079849277,train
11,0.33184354067460475,0.9342527265652699,valid
12,0.07861051884320869,0.9780174650041863,train
13,0.38193988915702487,0.9320076973947521,valid
14,0.06985794220872761,0.9802438181081116,train
15,0.33470094288419155,0.935856318152662,valid
16,0.06570297349247577,0.9807625800067117,train
17,0.36720523013565465,0.9342527262594089,valid
18,0.06377048423014853,0.9811948816318238,train
19,0.36111915019783475,0.934894163307278,valid
20,0.060554882746299984,0.9827511672967036,train
21,0.39477422485525904,0.9300833870922625,valid
22,0.06455916695032006,0.981346187100121,train
23,0.3331639655675163,0.935535599972821,valid
24,0.05762126971295156,0.9828160124502853,train
25,0.3529298923732838,0.9345734448215761,valid
26,0.05489033723184647,0.9846532942204457,train
27,0.36387976990669796,0.9342527263358742,valid
28,0.048771440632384935,0.9853017465395848,train
29,0.37746389769376126,0.9294419501208586,valid
30,0.05146438869100612,0.984955905239495,train
31,0.4056396303821482,0.9326491342132255,valid
32,0.05484794091337304,0.9845236036865311,train
33,0.4238921106435153,0.9345734447451108,valid
34,0.05725150561169854,0.9836157703820179,train
35,0.40952857419838884,0.9358563183820576,valid
36,0.051413411255549046,0.9848262147674217,train
37,0.33415976633163047,0.9374599103517759,valid
38,0.05810494152511793,0.9839399965725081,train
39,0.40355534076384814,0.9339320081560332,valid
40,0.05362239388058798,0.9899815449512259,valid
